country,gpd
Afghanistan,19469022208
Albania,11863865978
Algeria,1.59E+11
American Samoa,658000000
Andorra,2858517699
Angola,95335111741
Antigua,1460144704
Argentina,5.45E+11
Armenia,10572298342
Australia,1.20E+12
Austria,3.91E+11
Azerbaijan,37847715736
Bahamas,11261800000
Bahrain,32179069149
Bangladesh,2.21E+11
Barbados,4529050000
Belarus,47407217531
Belgium,4.68E+11
Belize,1741100000
Benin,8583031398
Bhutan,2212638830
Bolivia,33806395514
Bosnia Herzegovina,16910277134
Botswana,15581137274
Brazil,1.80E+12
Brunei Darussalam,11400653732
Bulgaria,53237882473
Burkina Faso,11693235542
Burundi,3007029030
Cabo Verde,1617467436
Cambodia,20016747754
Cameroon,32217497470
Canada,1.53E+12
Central African Republic,1756124677
Chad,9600761474
Chile,2.47E+11
China,1.12E+13
Colombia,2.82E+11
Comoros,616654490.4
"Congo, Dem. Rep.",31930856402
"Congo, Rep.",7833508879
Costa Rica,57435507212
Cote d'Ivoire,36372613023
Croatia,50714957391
Cyprus,20047013274
Czech Republic,1.95E+11
Denmark,3.07E+11
Dominica,581484031.9
Dominican Republic,71583553488
Ecuador,98613972000
Egypt,3.33E+11
El Salvador,26797470000
Equatorial,10684804794
Estonia,23337907619
Ethiopia,72374224249
Fiji,4703632978
Finland,2.39E+11
France,2.47E+12
Gabon,14213558130
Gambia,964599178.1
Georgia,14378016729
Germany,3.48E+12
Ghana,42689783734
Greece,1.93E+11
Grenada,1056188593
Guam,5793000000
Guatemala,68763255964
Guinea,8200248003
Guinea-Bissau,1164944510
Guyana,3502397094
Haiti,8022638722
Honduras,21516938910
Hong Kong ,3.21E+11
Hungary,1.26E+11
Iceland,20047413006
India,2.26E+12
Indonesia,9.32E+11
Iran,4.19E+11
Iraq,1.71E+11
Ireland,3.05E+11
Israel,3.18E+11
Italy,1.86E+12
Jamaica,14056908749
Japan,4.94E+12
Jordan,38654727746
Kazakhstan,1.37E+11
Kenya,70529014778
Kiribati,181551484.9
"south Korea, Rep.",1.41E+12
Kosovo,6649888889
Kuwait,1.11E+11
Kyrgyzstan,6551287938
Lao P.Dem.,15903329473
Latvia,27572698482
Lebanon,49598825982
Lesotho,2291321667
Liberia,2101000000
Lithuania,42738875963
Luxembourg,58631324559
Macau,44802641830
Macedonia,10899583155
Madagascar,10001193420
Malawi,5433038647
Malaysia,2.97E+11
Maldives,4224209599
Mali,14034980334
Malta,10999047580
Marshall Islands,194497900
Mauritania,4739298730
Mauritius,12168437744
Mexico,1.05E+12
"Micronesia, Fed. Sts.",329895600
Moldova,6749515655
Mongolia,11183458131
Montenegro,4374127212
Morocco,1.04E+11
Mozambique,11014858592
Myanmar,63225097051
Namibia,10947880690
Nauru,102060129.6
Nepal,21131983246
Netherlands,7.77E+11
New Zealand,1.85E+11
Nicaragua,13230844687
Niger,7528387858
Nigeria,4.05E+11
Northern Mariana Islands,1242000000
Norway,3.71E+11
Oman,66293368010
Pakistan,2.79E+11
Palau,310248300
Panama,55187700000
Papua New Guinea,20213214172
Paraguay,27424071383
Peru,1.92E+11
Philippines,3.05E+11
Poland,4.71E+11
Portugal,2.05E+11
Qatar,1.52E+11
Romania,1.88E+11
Russian Federation,1.28E+12
Rwanda,8376048905
Samoa,786356314.8
San Marino,1590707965
Sao Tome and Principe,342781715.5
Saudi Arabia,6.46E+11
Senegal,14683697631
Serbia,38299854688
Seychelles,1427323889
Sierra Leone,3736588554
Singapore,2.97E+11
Slovakia,89768598023
Slovenia,44708598649
Solomon Islands,1202125000
Somalia,6217000000
South Africa,2.95E+11
Spain,1.24E+12
Sri Lanka,81321876307
St. Kitts and Nevis,909854619.5
St. Lucia,1667078704
St. Vincent and the Grenadines,768224226.7
Sudan,95584380032
Suriname,3278425328
Swaziland,3720649375
Sweden,5.14E+11
Switzerland,6.69E+11
Tajikistan,6951657159
Tanzania,47340071107
Thailand,4.07E+11
Timor-Leste,1782974000
Togo,4399995987
Tonga,401562006.2
Trinidad and Tobago,21894706041
Tunisia,42062549395
Turkey,8.64E+11
Turkmenistan,36179885714
Tuvalu,34218878.44
Uganda,24078931933
Ukraine,93270479389
United Arab Emirates,3.49E+11
United Kingdom,2.65E+12
United States,1.86E+13
Uruguay,52419720714
Uzbekistan,67220335570
Vanuatu,773502895.9
Vietnam,2.05E+11
West Bank and Gaza,13397100000
"Yemen, Rep.",27317605346
Zambia,21063989683
Zimbabwe,16619960402
